track_id,artists,album_name,track_name,track_genre,emotions
5E30LdtzQTGqRvNd7l6kG5,The Neighbourhood,Wiped Out!,Daddy Issues,alternative,['Sad']
09gysnJpfQ3ublBmJDfcEC,Amaarae;Kali Uchis;Moliy,SAD GIRLZ LUV MONEY Remix (feat. Kali Uchis and Moliy),SAD GIRLZ LUV MONEY Remix (feat. Kali Uchis and Moliy),alternative,['Sad']
2K7xn816oNHJZ0aVqdQsha,The Neighbourhood,Hard To Imagine The Neighbourhood Ever Changing,Softcore,alternative,['Sad']
2QjOHCTQ1Jl3zawyYOpxh6,The Neighbourhood,I Love You.,Sweater Weather,alternative,['Sad']
4fouWK6XVHhzl78KzQ1UjL,GAYLE,abcdefu,abcdefu,alternative,['Sad']
07MDkzWARZaLEdKxo6yArG,THE ANXIETY;WILLOW;Tyler Cole,THE ANXIETY,Meet Me At Our Spot,alternative,['Sad']
60a0Rd6pjrkxjPbaKzXjfq,Linkin Park,Hybrid Theory (Bonus Edition),In the End,alternative,['Sad']
2nLtzopw4rPReszdYBJU6h,Linkin Park,Meteora,Numb,alternative,['Sad']
7BoobGhD4x5K96Me0hqC8Q,Bella Poarch,Build a Bitch,Build a Bitch,alternative,['Sad']
0eu4C55hL6x29mmeAjytzC,Oliver Tree,"Ugly is Beautiful: Shorter, Thicker & Uglier (Deluxe)",Life Goes On,alternative,['Sad']
6bTbMMEShyGyrcuIwtBlpA,Bella Poarch,Dolls EP,Living Hell,alternative,['Sad']
6rrKbzJGGDlSZgLphopS49,The Score,ATLAS,Unstoppable,alternative,['Sad']
0AUyNF6iFxMNQsNx2nhtrw,grandson,Blood // Water,Blood // Water,alternative,['Sad']
6CqHve8qCxKzEd3ciOy6xj,Slipknot,Rock Brandneu,Yen,alternative,['Sad']
75fT19n6ZQHr67Mkh86qfD,Red Hot Chili Peppers,Rock Brandneu,Tippa My Tongue,alternative,['Sad']
6syz0SJTv8ZNCNxaOnvMtb,Gorillaz,Maintain Your Mojo,Clint Eastwood,alternative,['Sad']
1tRpraJDpEUl0HjnkMosqx,Red Hot Chili Peppers,Top of the Rock,Black Summer,alternative,['Sad']
2AEdT2ZKd14kzOouzdNOUj,Red Hot Chili Peppers,OK Boomers - Top Tunes,Californication,alternative,['Sad']
23PvWFdi76vER4p1e2Xroj,The Killers,Workout Hits 2023,Mr. Brightside,alternative,['Sad']
5xUhs6dlfkcxZM8zq7riYF,Red Hot Chili Peppers,Tek It - New Noise,Black Summer,alternative,['Sad']
62pennq1pcVBFVW1b1CrFu,Red Hot Chili Peppers,Top of the Rock,Nerve Flip,alternative,['Sad']
1yZWmKmLfTrFCxHvhFsdoN,The Killers;Phoebe Bridgers,The Greatest Rock Tunes 2022,Runaway Horses - Abridged,alternative,['Sad']
