track_id,artists,album_name,track_name,track_genre,emotions
5E30LdtzQTGqRvNd7l6kG5,The Neighbourhood,Wiped Out!,Daddy Issues,alt-rock,['Frustration']
2Y0iGXY6m6immVb2ktbseM,MGMT,Little Dark Age,Little Dark Age,alt-rock,['Frustration']
2K7xn816oNHJZ0aVqdQsha,The Neighbourhood,Hard To Imagine The Neighbourhood Ever Changing,Softcore,alt-rock,['Frustration']
2QjOHCTQ1Jl3zawyYOpxh6,The Neighbourhood,I Love You.,Sweater Weather,alt-rock,['Frustration']
7zwn1eykZtZ5LODrf7c0tS,The Neighbourhood,Hard To Imagine The Neighbourhood Ever Changing,You Get Me So High,alt-rock,['Frustration']
7vguMCv8uVuZLiQJ156u3Z,Sam Tinnesz;Yacht Money,Play with Fire (feat. Yacht Money),Play with Fire (feat. Yacht Money),alt-rock,['Frustration']
4gHnSNHs8RyVukKoWdS99f,Nirvana,Nevermind (Remastered),Something In The Way,alt-rock,['Frustration']
0y1QJc3SJVPKJ1OvFmFqe6,KALEO,A/B,Way down We Go,alt-rock,['Frustration']
6rrKbzJGGDlSZgLphopS49,The Score,ATLAS,Unstoppable,alt-rock,['Frustration']
4CeeEOM32jQcH3eN9Q2dGj,Nirvana,Nevermind (Remastered),Smells Like Teen Spirit,alt-rock,['Frustration']
0AUyNF6iFxMNQsNx2nhtrw,grandson,Blood // Water,Blood // Water,alt-rock,['Frustration']
4kbj5MwxO1bq9wjT5g9HaA,WALK THE MOON,TALKING IS HARD,Shut Up and Dance,alt-rock,['Frustration']
7uCBGNn991AM68fR4tSDco,The Score,Carry On,Born For This,alt-rock,['Frustration']
6QvYmrqFKRSVrcVgvoA7Ar,Red Hot Chili Peppers,All That Really Matters - Just Hits,Tippa My Tongue,alt-rock,['Frustration']
75fT19n6ZQHr67Mkh86qfD,Red Hot Chili Peppers,Rock Brandneu,Tippa My Tongue,alt-rock,['Frustration']
23PvWFdi76vER4p1e2Xroj,The Killers,Workout Hits 2023,Mr. Brightside,alt-rock,['Frustration']
2AEdT2ZKd14kzOouzdNOUj,Red Hot Chili Peppers,OK Boomers - Top Tunes,Californication,alt-rock,['Frustration']
4xnB2yGAeXOuR3kJ9KTD3b,Red Hot Chili Peppers,Rock Brandneu,Nerve Flip,alt-rock,['Frustration']
1yZWmKmLfTrFCxHvhFsdoN,The Killers;Phoebe Bridgers,The Greatest Rock Tunes 2022,Runaway Horses - Abridged,alt-rock,['Frustration']
5xUhs6dlfkcxZM8zq7riYF,Red Hot Chili Peppers,Tek It - New Noise,Black Summer,alt-rock,['Frustration']
34ldTowcv56E2DqtSaYBjP,The Killers,OO's Music Grandi Successi,When You Were Young,alt-rock,['Frustration']
62pennq1pcVBFVW1b1CrFu,Red Hot Chili Peppers,Top of the Rock,Nerve Flip,alt-rock,['Frustration']
